문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
29751,Bronze V,삼각형,4910,3434,3313,71.094%,https://www.acmicpc.net/problem/29751
7510,Bronze III,고급 수학,7535,3696,3237,49.195%,https://www.acmicpc.net/problem/7510
1358,Silver IV,하키,4826,3352,3060,70.507%,https://www.acmicpc.net/problem/1358
2527,Silver I,직사각형,12965,3549,2954,30.517%,https://www.acmicpc.net/problem/2527
1064,Silver IV,평행사변형,11165,3244,2815,32.465%,https://www.acmicpc.net/problem/1064
10216,Gold IV,Count Circle Groups,11665,3632,2320,28.863%,https://www.acmicpc.net/problem/10216
1485,Silver III,정사각형,8531,2631,2227,33.308%,https://www.acmicpc.net/problem/1485
14264,Bronze III,정육각형과 삼각형,3285,2378,2144,74.187%,https://www.acmicpc.net/problem/14264
2022,Gold IV,사다리,5245,2949,1875,55.359%,https://www.acmicpc.net/problem/2022
6322,Bronze III,직각 삼각형의 두 변,5809,1980,1836,35.706%,https://www.acmicpc.net/problem/6322
6502,Bronze II,동혁 피자,3780,1920,1754,51.649%,https://www.acmicpc.net/problem/6502
1069,Gold III,집으로,6830,2187,1748,33.359%,https://www.acmicpc.net/problem/1069
9366,Bronze III,삼각형 분류,3704,1812,1668,50.561%,https://www.acmicpc.net/problem/9366
20149,Platinum IV,선분 교차 3,10604,2272,1602,20.991%,https://www.acmicpc.net/problem/20149
15973,Silver I,두 박스,7093,2176,1554,32.355%,https://www.acmicpc.net/problem/15973
22938,Bronze III,백발백준하는 명사수,3725,1669,1550,46.421%,https://www.acmicpc.net/problem/22938
10655,Silver III,마라톤 1,3615,1789,1505,50.862%,https://www.acmicpc.net/problem/10655
9240,Platinum III,로버트 후드,7636,2482,1500,35.800%,https://www.acmicpc.net/problem/9240
16931,Silver II,겉넓이 구하기,2760,1760,1473,65.583%,https://www.acmicpc.net/problem/16931
16479,Bronze III,컵라면 측정하기,2082,1674,1456,81.393%,https://www.acmicpc.net/problem/16479
