문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
12850,Gold I,본대 산책2,2413,1959,1696,83.547%,https://www.acmicpc.net/problem/12850
17182,Gold III,우주 탐사선,3960,2222,1692,55.251%,https://www.acmicpc.net/problem/17182
14867,Gold II,물통,5519,2330,1688,42.179%,https://www.acmicpc.net/problem/14867
2842,Platinum IV,집배원 한상덕,10390,2911,1679,24.525%,https://www.acmicpc.net/problem/2842
15653,Gold I,구슬 탈출 4,4614,2119,1669,48.844%,https://www.acmicpc.net/problem/15653
16964,Gold III,DFS 스페셜 저지,6788,2301,1662,35.242%,https://www.acmicpc.net/problem/16964
1414,Gold III,불우이웃돕기,4409,2065,1647,46.710%,https://www.acmicpc.net/problem/1414
14496,Silver II,"그대, 그머가 되어",4472,2009,1635,45.091%,https://www.acmicpc.net/problem/14496
25418,Silver III,정수 a를 k로 만들기,3241,2005,1628,63.027%,https://www.acmicpc.net/problem/25418
20303,Gold III,할로윈의 양아치,6949,2163,1604,29.286%,https://www.acmicpc.net/problem/20303
14923,Gold IV,미로 탈출,5512,2139,1604,37.964%,https://www.acmicpc.net/problem/14923
2186,Gold III,문자판,9630,2320,1586,23.570%,https://www.acmicpc.net/problem/2186
2316,Platinum III,도시 왕복하기 2,7423,2272,1572,29.165%,https://www.acmicpc.net/problem/2316
16437,Gold III,양 구출 작전,7826,2167,1568,26.744%,https://www.acmicpc.net/problem/16437
14675,Silver I,단절점과 단절선,3818,1995,1564,51.397%,https://www.acmicpc.net/problem/14675
17090,Gold III,미로 탈출하기,6124,2132,1552,33.820%,https://www.acmicpc.net/problem/17090
14284,Gold V,간선 이어가기 2,3182,1843,1547,58.158%,https://www.acmicpc.net/problem/14284
14248,Silver II,점프 점프,3207,1890,1536,58.964%,https://www.acmicpc.net/problem/14248
21924,Gold IV,도시 건설,4465,1980,1535,42.101%,https://www.acmicpc.net/problem/21924
16174,Silver I,점프왕 쩰리 (Large),4023,1827,1520,45.991%,https://www.acmicpc.net/problem/16174
16973,Gold IV,직사각형 탈출,7576,2252,1518,26.801%,https://www.acmicpc.net/problem/16973
11562,Gold III,백양로 브레이크,3949,1957,1510,47.664%,https://www.acmicpc.net/problem/11562
15558,Gold V,점프 게임,6094,1970,1475,30.551%,https://www.acmicpc.net/problem/15558
1113,Gold I,수영장 만들기,5550,2229,1467,37.712%,https://www.acmicpc.net/problem/1113
1326,Silver II,폴짝폴짝,7265,1875,1452,25.654%,https://www.acmicpc.net/problem/1326
3977,Platinum IV,축구 전술,5089,1831,1433,34.706%,https://www.acmicpc.net/problem/3977
9470,Gold III,Strahler 순서,4465,1797,1413,39.893%,https://www.acmicpc.net/problem/9470
12849,Silver I,본대 산책,2761,1835,1410,65.826%,https://www.acmicpc.net/problem/12849
16397,Gold IV,탈출,5163,1753,1408,32.721%,https://www.acmicpc.net/problem/16397
2157,Gold IV,여행,9269,1867,1392,21.392%,https://www.acmicpc.net/problem/2157
11265,Gold V,끝나지 않는 파티,3469,1760,1385,49.713%,https://www.acmicpc.net/problem/11265
18223,Gold IV,민준이와 마산 그리고 건우,3342,1730,1358,51.187%,https://www.acmicpc.net/problem/18223
21278,Gold V,호석이 두 마리 치킨,3597,1830,1353,49.542%,https://www.acmicpc.net/problem/21278
14868,Platinum IV,문명,8046,2096,1336,24.150%,https://www.acmicpc.net/problem/14868
13424,Gold IV,비밀 모임,3243,1722,1336,52.188%,https://www.acmicpc.net/problem/13424
16932,Gold III,모양 만들기,4905,1829,1335,34.657%,https://www.acmicpc.net/problem/16932
14466,Gold III,소가 길을 건너간 이유 6,4304,1747,1310,39.093%,https://www.acmicpc.net/problem/14466
3648,Platinum III,아이돌,5408,1672,1269,28.125%,https://www.acmicpc.net/problem/3648
